dataset	version	Common name	Scientific name	Class	species	common	file_species
eelectricus_gene_ensembl	Ee_SOAP_WITH_SSPACE	Electric eel	Electrophorus electricus	Fish	Electrophorus_electricus	Electric_eel	Electrophorus_electricus
eburgeri_gene_ensembl	Eburgeri_3.2	Hagfish	Eptatretus burgeri	Jawless fish	Eptatretus_burgeri	Hagfish	Eptatretus_burgeri
eaasinus_gene_ensembl	ASM303372v1	Donkey	Equus asinus asinus	Mammal	Equus_asinus	Donkey	Equus_asinus_asinus
ecaballus_gene_ensembl	EquCab3.0	Horse	Equus caballus	Mammal	Equus_caballus	Horse	Equus_caballus
eeuropaeus_gene_ensembl	HEDGEHOG	Hedgehog	Erinaceus europaeus	Mammal	Erinaceus_europaeus	Hedgehog	Erinaceus_europaeus
ecalabaricus_gene_ensembl	fErpCal1.1	Reedfish	Erpetoichthys calabaricus	Fish	Erpetoichthys_calabaricus	Reedfish	Erpetoichthys_calabaricus
elucius_gene_ensembl	Eluc_v4	Northern pike	Esox lucius	Fish	Esox_lucius	Northern_pike	Esox_lucius
fcatus_gene_ensembl	Felis_catus_9.0	Cat	Felis catus	Mammal	Felis_catus	Cat	Felis_catus
falbicollis_gene_ensembl	FicAlb1.5	Collared flycatcher	Ficedula albicollis	Bird	Ficedula_albicollis	Collared_flycatcher	Ficedula_albicollis
fheteroclitus_gene_ensembl	Fundulus_heteroclitus-3.0.2	Mummichog	Fundulus heteroclitus	Fish	Fundulus_heteroclitus	Mummichog	Fundulus_heteroclitus
gmorhua_gene_ensembl	gadMor3.0	Atlantic cod	Gadus morhua	Fish	Gadus_morhua	Atlantic_cod	Gadus_morhua
ggallus_gene_ensembl	GRCg6a	Chicken	Gallus gallus	Bird	Gallus_gallus	Chicken	Gallus_gallus_gca000002315v5
gaculeatus_gene_ensembl	BROADS1	Stickleback	Gasterosteus aculeatus	Fish	Gasterosteus_aculeatus	Stickleback	Gasterosteus_aculeatus
gfortis_gene_ensembl	GeoFor_1.0	Medium ground-finch	Geospiza fortis	Bird	Geospiza_fortis	Medium_ground_finch	Geospiza_fortis
